NOMBRE*;TIPO;ESTILO;GRADO;IBU;LANZAMIENTO;ESTADO;PAÍS;URL;PRODUCTOR
Mahou Cinco Estrellas;Pale Lager;European Pale Lager;5,50;27;1969;Activa;España;;Mahou
San Miguel Fresca;Pale Lager;European Pale Lager;4,40;18;;Activa;España;;San Miguel
Desperados Mojito;Specialty Beer;Herb and Spice Beer;5,90;20;;Activa;Francia;www.desperados.com;Brasserie Fischer
Desperados Original;Specialty Beer;Herb and Spice Beer;5,90;;1995;Activa;Francia;www.desperados.com;Brasserie Fischer
Corona Extra;Pale Lager;American Adjunt Lager;4,60;18;1926;Activa;México;www.cervezacorona.es;Grupo Modelo
Asahi Super Dry;Specialty Beer;Japanese Rice Lager;5,00;20;1987;Activa;Japón;www.asahisuperdry.com;Asahi Breweries
Mahou Barrica Original;Dark Lager;Märzen;6,10;23;2016;Activa;España;;Mahou
Mahou Maestra;Bock;Doppelbock;7,50;25;2016;Activa;España;;Mahou
Voll-Damm;Dark Lager;Märzen;7,20;34;1953;Activa;España;;Damm
Judas;Strong Ale;Belgian Pale Strong Ale;8,50;;1988;Activa;Bélgica;;Alken-Maes
Blue Moon Belgian White;Wheat Beer;Witbier;5,40;9;1995;Activa;Estados Unidos;;Blue Moon Brewing
Grimbergen Blonde;Pale Ale;Belgian Blonde Ale;6,70;22;;Activa;Bélgica;www.grimbergenbeer.com;Alken-Maes
Grimbergen Double Ambreé;Dark Ale;Dubbel;6,50;22;;Activa;Bélgica;www.grimbergenbeer.com;Alken-Maes
Paulaner Weissbier;Wheat Beer;Hefeweizen;5,50;16;;Activa;Alemania;www.paulaner.com;Paulaner Braueri
Franziskaner Premium Weissbier;Wheat Beer;Hefeweizen;5,00;12;1363;Activa;Alemania;www.franziskaner-weissbier.de;Spaten-Franziskaner-Bräu
Stella Artois;Pale Lager;European Pale Lager;4,60;24;1926;Activa;Bélgica;www.stellaartois.com;Brouwerij Artois
Heineken;Pale Lager;European Pale Lager;5,00;19;1873;Activa;Países Bajos;www.heineken.com;Heineken International
Budweiser;Pale Lager;American Adjunt Lager;4,80;12;1876;Activa;Estados Unidos;www.budweiser.com;Anheuser-Busch
Madrí;Pale Lager;German Pilsner;5,00;12;;Activa;España;;La Sagra
BrewDog Indie;Indian Pale Ale;English IPA;4,20;30;;Activa;Escocia;;BrewDog
Cruzcampo Gran Reserva;Pale Lager;European Strong Lager;6,40;;2009;Activa;España;;Cruzcampo
Mahou Maestra Dunkel;Dark Lager;Munich Dunkel;6,10;25;2018;Activa;España;;Mahou
Guinness Original;Stout;Irish Dry Stout;5,00;;1821;Activa;Irlanda;www.guinness.com;Guinness Brewery
Desperados Sangre;Specialty Beer;Herb and Spice Beer;5,90;;2018;Activa;Francia;www.desperados.com;Brasserie Fischer
Löwenbräu Original;Pale Lager;Helles;5,20;19;;Activa;Alemania;www.loewenbraeu.de;Löwenbräu
Paulaner Salvator;Bock;Doppelbock;7,90;28;;Activa;Alemania;www.paulaner.com;Paulaner Braueri
Pilsner Urquell;Pale Lager;Bohemian / Czech Pilsner;4,40;40;1842;Activa;República Checa;www.pilsnerurquell.com;Plzensky Prazdroj
Mahou Barrica Bourbon;Bock;Doppelbock;6,90;23;;Activa;España;;Mahou
Inedit Damm;Wheat Beer;Witbier;4,80;11;2008;Activa;España;;Damm
Pacífico Clara;Pale Lager;American Adjunt Lager;4,50;15;1899;Activa;México;;Grupo Modelo
A. K. Damm;Pale Lager;European Pale Lager;4,80;13;2001;Activa;España;;Damm
Sezoens Blond;Pale Ale;Belgian Blonde Ale;6,00;26;1867;Activa;Bélgica;www.sezoens.com;Brouwerij Martens
Leffe Triple;Strong Ale;Tripel;8,50;15;;Activa;Bélgica;;Abbaye de Leffe
Alhambra Reserva 1925;Pale Lager;Bohemian / Czech Pilsner;6,40;25;1997;Activa;España;;Cervezas Alhambra
Krombacher Pils;Pale Lager;German Pilsner;4,80;24;1890;Activa;Alemania;;Krombacher
Moritz Epidor;Pale Lager;European Strong Lager;7,20;30;2009;Activa;España;;Moritz
San Miguel Manila;Pale Lager;Indian Pale Lager (IPL);5,80;28;2018;Activa;España;;San Miguel
El Águila Sin Filtrar;Pale Lager;European Pale Lager;5,50;;;Activa;España;;El Águila
Delirium Tremens;Strong Ale;Belgian Pale Strong Ale;8,50;24;1989;Activa;Bélgica;www.delirium.be;Brouwerij Huyghe
Cruzcampo Trigo;Wheat Beer;Hefeweizen;5,00;20;2019;Activa;España;;Cruzcampo
Brugse Zot Dubbel;Dark Ale;Dubbel;7,50;27;;Activa;Bélgica;www.brugsezot.be;De Halve Maan
La Chouffe Blonde;Strong Ale;Belgian Pale Strong Ale;8,00;20;1982;Activa;Bélgica;;Brasserie d'Achouffe
Birra Moretti Recetta Originale;Pale Lager;European Pale Lager;4,60;12;1859;Activa;Italia;;Birra Moretti
San Miguel Selecta;Dark Lager;Märzen;6,20;21;2008;Activa;España;;San Miguel
Malquerida;Dark Lager;American Amber / Red Lager;5,00;19;2017;Activa;España;;Damm
Quilmes Clásica;Pale Lager;European Pale Lager;4,90;15;1890;Activa;Argentina;www.quilmes.com.ar;Cervecería y Maltería Quilmes
Innis & Gunn Blood Red Skin;Strong Ale;Scotch Ale;6,80;30;;Activa;Escocia;;Innis & Gunn Brewing
Innis & Gunn The Original;Strong Ale;Scotch Ale;6,60;18;2003;Activa;Escocia;;Innis & Gunn Brewing
