ID;CERVEZA;AÑO;COLOR;FABRICANTE;OBTURADOR;INSCRIPCIÓN;ESTADO;REPETIDA;FORMATO;REGISTRO;IMAGEN
1;Mahou Cinco Estrellas;2019;Rojo;U;05;R6460 BO 12 24 ;Regular;SI;25cl;;1_Mahou_Cinco_Estrellas_2019.jpg
2;San Miguel Fresca;2019;Oro;cp;2;R-4022 BO;Bueno;SI;33cl;;2_San_Miguel_Fresca_2019.jpg
3;Desperados Mojito;2019;Verde;dap;13;18;Perfecto;NO;33cl;;3_Desperados_Mojito_2019.jpg
4;Desperados Original;2019;Oro;dap;03;21;Regular;NO;33cl;;4_Desperados_Original_2019.jpg
5;Corona Extra;2019;Blanco;Z;0 11;LPVC 27-4;Bueno;NO;33cl;;5_Corona_Extra_2019.jpg
6;Asahi Super Dry;2019;Negro;dap;25;9;Malo;NO;33cl;;6_Asahi_Super_Dry_2019.jpg
7;Mahou Barrica Original;2019;Crudo;U;21;R-6498 BO 4 8 ;Bueno;SI;33cl;;7_Mahou_Barrica_Original_2019.jpg
8;Mahou Maestra;2019;Azul;cp;24;R-7729 BO 10 ;Bueno;SI;33cl;;8_Mahou_Maestra_2019.jpg
9;Voll-Damm;2019;Verde;U;17;KC00806 BO 21 ;Bueno;NO;25cl;;9_Voll-Damm_2019.jpg
10;Judas;2019;Negro;cp;04;40026533 26;Regular;SI;33cl;;10_Judas_2019.jpg
11;Blue Moon Belgian White;2019;Azul;dap;13;7063902 16;Bueno;SI;33cl;;11_Blue_Moon_Belgian_White_2019.jpg
12;Grimbergen Blonde;2018;Oro;cp;373;11706820 25;Regular;NO;33cl;;12_Grimbergen Blonde_2018.jpg
13;Grimbergen Double Ambreé;2018;Cobre;cp;18;11706822 10;Regular;NO;33cl;;13_Grimbergen_Double_Ambreé_2018.jpg
14;Paulaner Weissbier;2018;Blanco;RRK;22;17 23 35/18;Regular;NO;50cl;;14_Paulaner_2018.jpg
15;Franziskaner Premium Weissbier;2018;Oro;HB;B25;51160450 18;Bueno;NO;50cl;;15_Franziskaner_2018.jpg
16;Stella Artois;2018;Blanco;HB;15;51159587 24;Regular;NO;33cl;;16_Stella_Artois_2018.jpg
17;Heineken;2018;Plata;dap;11;53625683 4;Bueno;SI;33cl;;17_Heineken_2018.jpg
18;Budweiser;2019;Rojo;astir;16;51200968 8-1;Bueno;NO;33cl;;18_Budweiser_2019.jpg
19;Madrí Pilsner;2018;Rojo;Sin fabricante;;;Regular;NO;33cl;;19_Madrí_Pilsner_2018.jpg
20;BrewDog Indie;2019;Gris;HB;17;14;Perfecto;NO;33cl;;20_BrewDog_Indie_2019jpg.jpg
21;Cruzcampo Gran Reserva;2019;Negro;dap;06;05.36.25.718 21;Regular;NO;33cl;;21_Cruzcampo_Gran_Reserva_2019.jpg
22;Mahou Maestra Dunkel;2019;Marrón;U;18;R8096 BO 2 16;Regular;NO;33cl;;22_Mahou_Maestra_Dunkel_2019.jpg
23;Guinness Original;2019;Crudo;dap;17;334114 16;Bueno;NO;33cl;;23_Guinness_Original_2019.jpg
24;Desperados Sangre;2019;Cobre;dap;27;1;Bueno;NO;33cl;;24_Desperados_Sangre_2019.jpg
25;Löwenbräu Original;2019;Oro;HB;B11;51160452 18;Bueno;SI;33cl;;25_Löwenbräu_Original_2019.jpg
26;Paulaner Salvator;2019;Oro;dap;06;26;Perfecto;NO;50cl;;26_Paulaner_Salvator_2019.jpg
27;Pilsner Urquell;2019;Oro;dap;12;16;Perfecto;NO;33cl;;27_Pilsner_Urquell_2019.jpg
28;Mahou Barrica Bourbon;2019;Verde;cp;;R-6718 BO 24;Perfecto;SI;33cl;;28_Mahou_Barrica_Bourbon_2019.jpg
29;Inedit Damm;2019;Negro;U;15;KC 004404 BO 2 20;Bueno;SI;33cl;;29_Inedit_Damm_2019.jpg
30;Pacífico Clara;2019;Amarillo;Z;F 19;LPVC 15-9;Bueno;SI;33cl;;30_Pacifico_Clara_2019.jpg
31;A. K. Damm;2019;Oro;U;17;KC 01201 BO 5 1;Bueno;NO;33cl;;31_A.K._Damm_2019.jpg
32;Sezoens Blond;2019;Blanco;cp;;VAK0120 4;Bueno;NO;33cl;;32_Sezoens_2019.jpg
33;Leffe Triple;2019;Marrón;HB;17;50212997 23;Bueno;NO;33cl;;33_Leffe_Triple_2019.jpg
34;Alhambra Reserva 1925;2019;Verde;U;05;R6503 BO 4 6;Regular;NO;33cl;;34_Alhambra_Reserva_1925_2019.jpg
35;Krombacher Pils;2019;Blanco;RRK;15;22 05 20/19;Bueno;NO;33cl;;35_Krombacher_Pils_2019.jpg
36;Moritz Epidor;2019;Rojo;U;11;12;Bueno;NO;33cl;;36_Moritz_Epidor_2019.jpg
37;Stella Artois;2019;Oro;HB;01;51216819;Regular;NO;33cl;;37_Stella_Artois_2019_.jpg
38;San Miguel Manila;2019;Negro;U;09;R6706 BO 2 2;Bueno;NO;33cl;;38_San_Miguel_Manila_2019_.jpg
39;Heineken;2019;Verde;dap;30;53625727;Bueno;SI;33cl;;39_Heineken_2019_.jpg
40;El Águila Sin Filtrar;2019;Azul;cp;;05.36.25.721 9;Bueno;NO;33cl;;40_El_Aguila_Especial_Sin_Filtrar_2019_.jpg
41;Grimbergen Double Ambreé;2020;Cobre;cp;16;312881 19;Bueno;NO;33cl;;41_Grimbergen_Double_Ambrée_2019_.jpg
42;Delirium Tremens;2019;Azul;Sin fabricante;01;;Perfecto;NO;33cl;;42_Delirium_Tremens_2019_.jpg
43;Cruzcampo Trigo;2019;Negro;dap;16;05.36.25.722 9;Bueno;NO;33cl;;43_Cruzcampo_Trigo_2019_.jpg
44;Brugse Zot Dubbel;2019;Cobre;HB;47;;Bueno;NO;33cl;;44_Brugse_Zot_Dubbel_2019_.jpg
45;La Chouffe Blonde;2019;Amarillo;dap;18;27;Perfecto;NO;33cl;;45_La_Chouffe_Blonde_2019.jpg
46;Birra Moretti Recetta Originale;2019;Marrón;dap;28;4;Bueno;NO;33cl;;46_Birra_Moretti_Recetta_Originale_2019.jpg
47;San Miguel Selecta;2019;Oro;cp;371;R-5675 BO 14;Bueno;NO;33cl;;47_San_Miguel_Selecta_2019.jpg
48;Malquerida;2019;Blanco;U;27;KC 06602 BO 2 5;Bueno;NO;33cl;;48_Malquerida_2019.jpg
49;Quilmes Clásica;2019;Oro;C;L319;21-13;Bueno;NO;33cl;;49_Quilmes_Clásica_2019.jpg
50;Innis & Gunn Blood Red Skin;2019;Negro;dap;08;6;Bueno;NO;33cl;;50_Innis&Gunn_Blood_Red_Skin_2019.jpg
51;Innis & Gunn The Original;2019;Rojo;dap;9;17;Perfecto;NO;33cl;;51_Innis&Gunn_The_Original_2019.jpg
52;Innis & Gunn Gunpowder IPA;2019;Blanco;dap;23;3;Bueno;NO;33cl;;52_Innis&Gunn_Gunpowder_IPA_2019.jpg
53;Mahou Clásica;2019;Verde;U;15;R6463 BO 3;Bueno;SI;25cl;;53_Mahou_Clásica_2019.jpg
54;Hop House 13;2019;Blanco;dap;11;3105416684 5;Perfecto;NO;33cl;;54_Hop_House_13_2019.jpg
55;Miller Genuine Draft;2019;Negro;cp;22;26;Bueno;NO;33cl;;55_Miller_Genuine_Draft_2019.jpg
56;Cubanisto;2019;Negro;HB;70;51188618 17;Bueno;NO;33cl;;56_Cubanisto_2019.jpg
57;Sol;2019;Oro;HB;20;2;Perfecto;NO;33cl;;57_Sol_2019.jpg
58;DAB Export;2019;Verde;RRK;17;901 14/19;Bueno;NO;33cl;;58_DAB_2019.jpg
59;Mahou Barrica 12 Meses;2019;Negro;U;03;R-6509 BO 1 12;Bueno;NO;33cl;;59_Mahou_Barrica_12_Meses_2019.jpg
60;Guinness Original Extra Stout;2019;Rojo;dap;13;VAK18225 3105459513 27;Bueno;NO;33cl;;60_Guinness_Original_Extra_Stout_2019.jpg
61;Chimay Rouge;2019;Rojo;cp;;;Bueno;NO;33cl;;61_Chimay_Roja_2019.jpg
62;La Trappe Dubbel;2020;Crudo;Unibox;12;14537 9;Perfecto;NO;33cl;;62_La_Trappe_Double_2020.jpg
63;Lagunitas IPA;2020;Oro;Crown;08;7-13;Perfecto;NO;33cl;;63_Lagunitas_IPA_2020.jpg
64;Complot IPA;2020;Verde;U;33;KC07001 BO 2;Perfecto;NO;33cl;;64_Complot_IPA_2019.jpg
65;Hoegaarden Wit;2020;Azul;HB;8;51144914 7;Perfecto;SI;33cl;;65_Hoegaarden_Wit_Blanche_2020.jpg
66;Sierra Nevada Pale Ale;2020;Verde;Crown;06;8-6;Perfecto;NO;33cl;;66_Sierra_Nevada_Pale_Ale_2020.jpg
67;Sierra Nevada Torpedo Extra IPA;2020;Verde;Crown;04;2-19;Perfecto;NO;33cl;;67_Torpedo_Extra_IPA_2020.jpg
68;Toro;2020;Negro;U;10;21;Bueno;NO;33cl;;68_Toro_Osborne_2020.jpg
69;Staropramen Premium;2020;Crudo;cp;02;;Perfecto;NO;33cl;;69_Staropramen_Premium_2020.jpg
70;Super Bock Original;2020;Rojo;Unibox;B22;;Perfecto;NO;33cl;;70_Super_Bock_2020.jpg
71;Guinness Draught;2020;Negro;dap;17;3105433225 7;Perfecto;NO;33cl;;71_Guinness_Draught_Stout_2020.jpg
72;Mahou Cinco Estrellas Session IPA;2020;Blanco;U;13;R8859 BO 26;Perfecto;NO;33cl;;72_Mahou_5_Estrellas_Session_IPA_2020.jpg
73;Sierra Nevada Torpedo Tropical IPA;2020;Plata;Crown;;5-8;Perfecto;NO;33cl;;73_Sierra_Nevada_Torpedo_Tropical_2020.jpg
74;Daura;2020;Rojo;U;07;KCO4205 BO 8 26;Bueno;NO;33cl;;74_Daura_Damm_2029.jpg
75;Pinkus Demeter Müller’s Lagerbier;2020;Crudo;RRK;16;7 25 18/19;Malo;NO;50cl;;75_Pinkus_Muller_Demeter_Lagerbier_2020.jpg
76;Kirin Ichiban;2020;Crudo;dap;05;;Perfecto;NO;33cl;;76_Kirin_Ichiban_2020.jpg
77;Tiger;2020;Azul;dap;36;5159 4;Perfecto;NO;33cl;;77_Tiger_2020.jpg
