ID;NOMBRE;PAÍS;REGIÓN;CIUDAD;FUNDACIÓN;URL;EMPRESA MATRIZ
1;Mahou;España;Comunidad de Madrid;Madrid;1890;www.mahou.es;Mahou-San Miguel
2;San Miguel;España;Andalucía;Málaga;1890;www.sanmiguel.es;Mahou-San Miguel
3;Brasserie Fischer;Francia;Alsacia;Estrasburgo;1821;www.heinekenfrance.fr;Heineken H.V.
4;Grupo Modelo;México;Valle de México;Ciudad de México;1925;www.grupomodelo.com;AB InBev
5;Asahi Breweries;Japón;Kanto;Tokio;1889;www.asahigroup-holdings.com;Asahi Group Holdings
6;Damm;España;Cataluña;Barcelona;1876;www.damm.com;Holding Cervecero Damm
7;Alken-Maes;Bélgica;Flandes;Malinas;1988;www.alken-maes.be;Heineken H.V.
8;Blue Moon Brewing;Estados Unidos;Colorado;Golden;1995;www.bluemoonbrewingcompany.com;Molson Coors
9;Paulaner Braueri;Alemania;Baviera;Munich;1634;www.paulaner.com;Paulaner Braueri Gruppe
10;Spaten-Franziskaner-Bräu;Alemania;Baviera;Munich;1922;;AB InBev
11;Brouwerij Artois;Bélgica;Flandes;Lovaina;1366;;AB InBev
12;Heineken International;Países Bajos;Holanda Septentrional;Amsterdam;1864;www.theheinekencompany.com;Heineken H.V.
13;Anheuser-Busch;Estados Unidos;Missouri;San Luis;1852;www.anheuser-busch.com;AB InBev
14;La Sagra;España;Castilla-La Mancha;Numancia de la Sagra;2011;www.cervezalasagra.es;Molson Coors
15;BrewDog;Reino Unido;Escocia;Ellon;2007;www.brewdog.com;
16;Cruzcampo;España;Andalucía;Sevilla;1904;www.cruzcampo.es;Heineken H.V.
17;Guinness Brewery;Irlanda;Leinster;Dublin;1759;ww.guinness-storehouse.com;Diageo
18;Löwenbräu;Alemania;Baviera;Munich;1746;;AB InBev
19;Plzensky Prazdroj;República Checa;Bohemia;Pilsen;1842;www.prazdroj.cz;Asahi Group Holdings
20;Brouwerij Martens;Bélgica;Flandes;Bocholt;1758;www.martens.be;
21;Abbaye de Leffe;Bélgica;Valonia;Dinant;1240;leffe.com;AB InBev
22;Cervezas Alhambra;España;Andalucía;Granada;1925;www.cervezasalhambra.com;Mahou-San Miguel
23;Krombacher;Alemania;Renania del Norte-Westfalia;Kreuztal;1803;www.krombacher.com;
24;Moritz;España;Cataluña;Barcelona;1856;moritz.com;La Zaragozana S.A.
25;El Águila;España;Comunidad de Madrid;Madrid;1900;www.cervezaelaguila.es;Heineken H.V.
26;Brouwerij Huyghe;Bélgica;Flandes;Melle;1906;www.brouwerijhuyghe.be;
27;De Halve Maan;Bélgica;Flandes;Brujas;1856;www.halvemaan.be;
28;Brasserie d'Achouffe;Bélgica;Valonia;Achouffe;1982;www.chouffe.com;Duvel Moortgat
29;Birra Moretti;Italia;Friul-Venecia Julia;Udine;1859;www.birramoretti.it;Heineken H.V.
30;Cervecería y Maltería Quilmes;Argentina;Buenos Aires;Quilmes;1890;www.cerveceriaymalteriaquilmes.com;AB InBev
31;Innis & Gunn Brewing;Reino Unido;Escocia;Edimburgo;2003;www.innisandgunn.com;
